
"Date","Price","Open","High","Low","Change %"
"Oct 28, 2019","1,492.69","1,504.21","1,508.36","1,489.65","-0.80%"
"Oct 25, 2019","1,504.73","1,504.75","1,518.10","1,500.55","0.07%"
"Oct 24, 2019","1,503.65","1,492.30","1,504.21","1,488.02","0.77%"
"Oct 23, 2019","1,492.10","1,488.20","1,496.24","1,487.49","0.27%"
"Oct 22, 2019","1,488.05","1,484.66","1,489.17","1,480.84","0.24%"
"Oct 21, 2019","1,484.50","1,492.02","1,495.31","1,481.75","-0.38%"
"Oct 18, 2019","1,490.10","1,492.32","1,494.33","1,484.80","-0.12%"
"Oct 17, 2019","1,491.89","1,490.40","1,497.43","1,483.35","0.14%"
"Oct 16, 2019","1,489.77","1,481.28","1,491.60","1,477.05","0.58%"
"Oct 15, 2019","1,481.17","1,493.25","1,497.99","1,477.46","-0.79%"
"Oct 14, 2019","1,492.90","1,488.60","1,497.10","1,482.60","0.20%"
"Oct 11, 2019","1,489.85","1,494.46","1,503.49","1,474.30","-0.30%"
"Oct 10, 2019","1,494.30","1,505.60","1,517.07","1,491.40","-0.76%"
"Oct 09, 2019","1,505.70","1,506.06","1,511.60","1,499.70","0.01%"
"Oct 08, 2019","1,505.51","1,493.40","1,508.56","1,487.49","0.80%"
"Oct 07, 2019","1,493.60","1,504.76","1,509.47","1,489.94","-0.73%"
"Oct 04, 2019","1,504.60","1,505.19","1,510.94","1,497.01","-0.03%"
"Oct 03, 2019","1,505.00","1,499.55","1,518.75","1,495.85","0.37%"
"Oct 02, 2019","1,499.51","1,479.19","1,504.98","1,474.25","1.39%"
"Oct 01, 2019","1,478.98","1,472.30","1,487.42","1,458.90","0.46%"
"Sep 30, 2019","1,472.25","1,497.08","1,500.50","1,464.24","-1.65%"
"Sep 27, 2019","1,496.94","1,506.18","1,507.79","1,486.98","-0.59%"
"Sep 26, 2019","1,505.80","1,503.89","1,512.60","1,501.74","0.11%"
"Sep 25, 2019","1,504.15","1,531.60","1,535.40","1,501.41","-1.84%"
"Sep 24, 2019","1,532.30","1,522.50","1,536.10","1,515.95","0.67%"
"Sep 23, 2019","1,522.12","1,516.65","1,527.05","1,511.35","0.33%"
"Sep 20, 2019","1,517.15","1,499.60","1,517.21","1,498.00","1.20%"
"Sep 19, 2019","1,499.20","1,493.60","1,504.20","1,488.80","0.35%"
"Sep 18, 2019","1,493.90","1,501.40","1,511.25","1,484.41","-0.61%"
"Sep 17, 2019","1,503.10","1,499.45","1,507.90","1,493.90","0.29%"
"Sep 16, 2019","1,498.80","1,503.59","1,512.81","1,496.20","0.68%"
"Sep 13, 2019","1,488.70","1,498.45","1,509.06","1,485.51","-0.68%"
"Sep 12, 2019","1,498.95","1,497.45","1,523.86","1,488.65","0.09%"
"Sep 11, 2019","1,497.60","1,486.45","1,498.41","1,484.90","0.75%"
"Sep 10, 2019","1,486.40","1,499.60","1,501.90","1,484.80","-0.84%"
"Sep 09, 2019","1,498.95","1,507.10","1,515.50","1,497.60","-0.53%"
"Sep 06, 2019","1,506.95","1,519.25","1,527.70","1,502.75","-0.82%"
"Sep 05, 2019","1,519.35","1,552.45","1,553.25","1,509.28","-2.14%"
"Sep 04, 2019","1,552.60","1,547.05","1,557.25","1,533.68","0.36%"
"Sep 03, 2019","1,547.00","1,529.60","1,549.80","1,521.40","1.07%"
"Sep 02, 2019","1,530.59","1,520.05","1,533.77","1,519.05","0.68%"
"Aug 30, 2019","1,520.25","1,527.60","1,533.40","1,517.51","-0.49%"
"Aug 29, 2019","1,527.70","1,539.20","1,550.70","1,519.40","-0.74%"
"Aug 28, 2019","1,539.10","1,541.69","1,547.10","1,531.50","-0.23%"
"Aug 27, 2019","1,542.64","1,526.25","1,544.63","1,524.75","1.07%"
"Aug 26, 2019","1,526.35","1,539.25","1,554.91","1,524.55","-0.03%"
"Aug 23, 2019","1,526.85","1,499.55","1,530.43","1,493.45","1.87%"
"Aug 22, 2019","1,498.80","1,502.10","1,504.60","1,491.70","-0.23%"
"Aug 21, 2019","1,502.30","1,507.70","1,508.40","1,496.10","-0.32%"
"Aug 20, 2019","1,507.10","1,495.55","1,508.39","1,492.75","0.79%"
"Aug 19, 2019","1,495.30","1,511.00","1,512.90","1,492.40","-1.24%"
"Aug 16, 2019","1,514.15","1,524.00","1,527.80","1,504.20","-0.59%"
"Aug 15, 2019","1,523.20","1,516.74","1,526.76","1,508.25","0.45%"
"Aug 14, 2019","1,516.34","1,501.38","1,524.10","1,494.25","1.00%"
"Aug 13, 2019","1,501.39","1,510.61","1,534.56","1,481.31","-0.66%"
"Aug 12, 2019","1,511.40","1,497.51","1,517.71","1,487.68","0.95%"
"Aug 09, 2019","1,497.24","1,501.40","1,508.40","1,494.62","-0.25%"
"Aug 08, 2019","1,500.95","1,501.95","1,510.35","1,490.74","-0.02%"
"Aug 07, 2019","1,501.20","1,474.25","1,510.40","1,472.36","1.83%"
"Aug 06, 2019","1,474.27","1,464.20","1,475.21","1,456.65","0.72%"
"Aug 05, 2019","1,463.80","1,440.60","1,469.80","1,436.90","1.60%"
"Aug 02, 2019","1,440.70","1,445.66","1,448.05","1,430.08","-0.32%"
"Aug 01, 2019","1,445.31","1,411.21","1,445.81","1,400.56","2.23%"
"Jul 31, 2019","1,413.80","1,430.91","1,432.94","1,411.35","-1.19%"
"Jul 30, 2019","1,430.85","1,426.71","1,433.03","1,421.91","0.27%"
"Jul 29, 2019","1,426.94","1,419.04","1,428.25","1,416.86","0.58%"
"Jul 26, 2019","1,418.69","1,414.59","1,424.80","1,413.77","0.29%"
"Jul 25, 2019","1,414.53","1,426.60","1,433.86","1,411.17","-0.80%"
"Jul 24, 2019","1,425.90","1,417.26","1,429.30","1,416.20","0.60%"
"Jul 23, 2019","1,417.39","1,425.15","1,429.25","1,414.20","-0.54%"
"Jul 22, 2019","1,425.12","1,425.15","1,429.83","1,422.35","-0.01%"
"Jul 19, 2019","1,425.30","1,446.38","1,452.98","1,420.29","-1.45%"
"Jul 18, 2019","1,446.30","1,426.90","1,448.30","1,414.66","1.37%"
"Jul 17, 2019","1,426.80","1,406.41","1,427.00","1,399.95","1.46%"
"Jul 16, 2019","1,406.33","1,414.69","1,418.43","1,401.18","-0.55%"
"Jul 15, 2019","1,414.08","1,415.90","1,419.75","1,407.76","-0.12%"
"Jul 12, 2019","1,415.74","1,403.85","1,416.88","1,403.06","0.84%"
"Jul 11, 2019","1,404.00","1,419.40","1,426.40","1,401.60","-1.06%"
"Jul 10, 2019","1,419.00","1,397.80","1,419.20","1,389.75","1.51%"
"Jul 09, 2019","1,397.90","1,395.30","1,399.90","1,386.21","0.17%"
"Jul 08, 2019","1,395.50","1,399.95","1,407.90","1,391.75","-0.32%"
"Jul 05, 2019","1,399.95","1,415.81","1,424.36","1,386.92","-1.11%"
"Jul 04, 2019","1,415.64","1,419.80","1,422.00","1,410.59","-0.23%"
"Jul 03, 2019","1,418.94","1,419.95","1,436.39","1,412.48","0.04%"
"Jul 02, 2019","1,418.44","1,383.40","1,419.72","1,383.40","2.47%"
"Jul 01, 2019","1,384.31","1,392.83","1,397.56","1,381.76","-1.79%"
"Jun 28, 2019","1,409.50","1,409.56","1,424.64","1,406.81","-0.01%"
"Jun 27, 2019","1,409.68","1,409.56","1,412.00","1,400.25","0.07%"
"Jun 26, 2019","1,408.75","1,423.91","1,424.06","1,402.38","-1.02%"
"Jun 25, 2019","1,423.25","1,419.17","1,439.03","1,412.30","0.26%"
"Jun 24, 2019","1,419.55","1,401.35","1,421.30","1,400.48","1.47%"
"Jun 21, 2019","1,399.05","1,388.22","1,411.18","1,382.40","0.78%"
"Jun 20, 2019","1,388.18","1,360.36","1,393.24","1,357.80","2.05%"
"Jun 19, 2019","1,360.27","1,346.56","1,362.50","1,341.15","1.02%"
"Jun 18, 2019","1,346.48","1,340.09","1,354.60","1,338.65","0.52%"
"Jun 17, 2019","1,339.54","1,341.91","1,343.38","1,332.70","-0.15%"
"Jun 14, 2019","1,341.58","1,341.55","1,358.29","1,337.83","-0.06%"
"Jun 13, 2019","1,342.35","1,334.00","1,343.43","1,332.27","0.66%"
"Jun 12, 2019","1,333.55","1,326.78","1,338.62","1,326.18","0.50%"
"Jun 11, 2019","1,326.91","1,328.26","1,330.06","1,319.60","-0.09%"
"Jun 10, 2019","1,328.13","1,335.96","1,337.84","1,324.90","-0.94%"
"Jun 07, 2019","1,340.70","1,335.60","1,348.48","1,330.08","0.39%"
"Jun 06, 2019","1,335.55","1,332.36","1,340.43","1,327.80","0.40%"
"Jun 05, 2019","1,330.18","1,325.50","1,344.26","1,324.60","0.37%"
"Jun 04, 2019","1,325.28","1,325.05","1,329.38","1,319.98","0.01%"
"Jun 03, 2019","1,325.17","1,307.55","1,328.30","1,306.70","1.50%"
"May 31, 2019","1,305.65","1,288.35","1,307.04","1,288.09","1.30%"
"May 30, 2019","1,288.85","1,279.71","1,289.22","1,274.79","0.72%"
"May 29, 2019","1,279.60","1,279.71","1,285.77","1,278.87","0.01%"
"May 28, 2019","1,279.49","1,285.59","1,286.86","1,276.07","-0.44%"
"May 27, 2019","1,285.20","1,285.80","1,287.72","1,283.80","0.02%"
"May 24, 2019","1,284.89","1,283.40","1,285.42","1,280.45","0.11%"
"May 23, 2019","1,283.45","1,273.80","1,287.63","1,272.58","0.77%"
"May 22, 2019","1,273.62","1,274.61","1,277.42","1,272.15","-0.11%"
"May 21, 2019","1,274.97","1,277.95","1,278.06","1,269.22","-0.22%"
"May 20, 2019","1,277.74","1,277.80","1,279.14","1,273.47","0.01%"
"May 17, 2019","1,277.55","1,286.50","1,289.29","1,274.91","-0.71%"
"May 16, 2019","1,286.65","1,296.75","1,298.92","1,283.95","-0.77%"
"May 15, 2019","1,296.66","1,297.17","1,301.02","1,292.70","-0.03%"
"May 14, 2019","1,297.03","1,300.11","1,303.51","1,293.33","-0.22%"
"May 13, 2019","1,299.90","1,286.56","1,301.35","1,281.60","1.08%"
"May 10, 2019","1,286.00","1,284.36","1,289.73","1,283.21","0.14%"
"May 09, 2019","1,284.14","1,280.49","1,288.52","1,279.41","0.25%"
"May 08, 2019","1,280.93","1,284.16","1,291.79","1,279.35","-0.33%"
"May 07, 2019","1,285.15","1,281.55","1,286.74","1,278.50","0.38%"
"May 06, 2019","1,280.33","1,281.06","1,285.76","1,276.60","0.09%"
"May 03, 2019","1,279.19","1,270.61","1,282.67","1,268.81","0.68%"
"May 02, 2019","1,270.54","1,276.81","1,278.18","1,266.10","-0.48%"
"May 01, 2019","1,276.61","1,283.46","1,287.21","1,272.99","-0.54%"
"Apr 30, 2019","1,283.60","1,279.98","1,286.39","1,279.54","0.30%"
"Apr 29, 2019","1,279.80","1,286.40","1,286.81","1,277.78","-0.50%"
"Apr 26, 2019","1,286.25","1,277.42","1,288.99","1,276.05","0.70%"
"Apr 25, 2019","1,277.35","1,275.60","1,282.78","1,273.50","0.16%"
"Apr 24, 2019","1,275.36","1,272.31","1,278.74","1,268.55","0.23%"
"Apr 23, 2019","1,272.40","1,275.26","1,276.66","1,266.15","-0.20%"
"Apr 22, 2019","1,274.92","1,275.83","1,279.96","1,273.45","-0.04%"
"Apr 18, 2019","1,275.39","1,273.38","1,277.95","1,271.02","0.10%"
"Apr 17, 2019","1,274.14","1,276.86","1,280.06","1,272.93","-0.19%"
"Apr 16, 2019","1,276.57","1,287.91","1,289.00","1,273.10","-0.88%"
"Apr 15, 2019","1,287.88","1,290.45","1,292.01","1,282.21","-0.20%"
"Apr 12, 2019","1,290.40","1,292.30","1,296.05","1,290.11","-0.17%"
"Apr 11, 2019","1,292.60","1,307.95","1,309.36","1,289.45","-1.18%"
"Apr 10, 2019","1,308.05","1,303.96","1,310.75","1,300.89","0.30%"
"Apr 09, 2019","1,304.13","1,297.24","1,306.34","1,296.55","0.52%"
"Apr 08, 2019","1,297.41","1,291.65","1,303.86","1,291.35","0.44%"
"Apr 05, 2019","1,291.70","1,292.46","1,293.77","1,284.46","-0.05%"
"Apr 04, 2019","1,292.38","1,289.95","1,294.36","1,280.84","0.19%"
"Apr 03, 2019","1,289.90","1,292.21","1,294.67","1,288.20","-0.25%"
"Apr 02, 2019","1,293.15","1,287.55","1,293.15","1,285.16","0.43%"
"Apr 01, 2019","1,287.66","1,291.33","1,297.04","1,286.50","-0.35%"
"Mar 29, 2019","1,292.15","1,290.14","1,299.82","1,286.60","0.12%"
"Mar 28, 2019","1,290.55","1,309.85","1,312.63","1,288.70","-1.47%"
"Mar 27, 2019","1,309.87","1,315.81","1,319.57","1,308.07","-0.43%"
"Mar 26, 2019","1,315.51","1,321.51","1,323.24","1,312.51","-0.48%"
"Mar 25, 2019","1,321.90","1,313.05","1,324.43","1,310.80","0.65%"
"Mar 22, 2019","1,313.38","1,309.14","1,315.08","1,306.81","0.30%"
"Mar 21, 2019","1,309.45","1,312.64","1,320.47","1,303.25","-0.23%"
"Mar 20, 2019","1,312.48","1,305.61","1,316.83","1,298.50","0.45%"
"Mar 19, 2019","1,306.55","1,303.45","1,311.07","1,302.45","0.22%"
"Mar 18, 2019","1,303.70","1,301.64","1,306.78","1,298.12","0.18%"
"Mar 15, 2019","1,301.38","1,295.74","1,306.58","1,293.66","0.39%"
"Mar 14, 2019","1,296.28","1,309.61","1,310.46","1,292.75","-0.99%"
"Mar 13, 2019","1,309.28","1,302.01","1,311.33","1,300.56","0.56%"
"Mar 12, 2019","1,302.01","1,293.71","1,302.19","1,292.06","0.60%"
"Mar 11, 2019","1,294.25","1,298.70","1,299.27","1,290.15","-0.32%"
"Mar 08, 2019","1,298.39","1,285.91","1,300.99","1,285.29","0.98%"
"Mar 07, 2019","1,285.74","1,286.71","1,289.06","1,281.16","-0.08%"
"Mar 06, 2019","1,286.76","1,287.62","1,291.07","1,283.45","-0.05%"
"Mar 05, 2019","1,287.43","1,286.67","1,289.75","1,280.95","0.06%"
"Mar 04, 2019","1,286.66","1,293.62","1,297.11","1,282.75","-0.53%"
"Mar 01, 2019","1,293.56","1,312.81","1,315.33","1,290.16","-1.48%"
"Feb 28, 2019","1,313.05","1,320.18","1,327.42","1,312.54","-0.52%"
"Feb 27, 2019","1,319.88","1,328.91","1,329.63","1,316.51","-0.68%"
"Feb 26, 2019","1,328.96","1,327.44","1,330.59","1,323.61","0.14%"
"Feb 25, 2019","1,327.12","1,328.57","1,332.59","1,325.03","-0.05%"
"Feb 22, 2019","1,327.80","1,323.52","1,333.17","1,321.16","0.33%"
"Feb 21, 2019","1,323.49","1,338.89","1,341.88","1,322.24","-1.12%"
"Feb 20, 2019","1,338.49","1,341.25","1,346.81","1,336.63","-0.20%"
"Feb 19, 2019","1,341.16","1,325.90","1,341.87","1,322.33","1.07%"
"Feb 18, 2019","1,326.90","1,321.95","1,328.39","1,321.11","0.42%"
"Feb 15, 2019","1,321.41","1,312.98","1,322.98","1,311.16","0.68%"
"Feb 14, 2019","1,312.55","1,306.16","1,314.43","1,302.63","0.49%"
"Feb 13, 2019","1,306.19","1,310.88","1,318.19","1,304.50","-0.36%"
"Feb 12, 2019","1,310.89","1,308.55","1,315.12","1,306.64","0.20%"
"Feb 11, 2019","1,308.33","1,314.22","1,314.88","1,303.58","-0.44%"
"Feb 08, 2019","1,314.07","1,310.14","1,315.72","1,307.23","0.30%"
"Feb 07, 2019","1,310.09","1,305.87","1,311.99","1,302.17","0.30%"
"Feb 06, 2019","1,306.22","1,315.03","1,315.88","1,305.38","-0.67%"
"Feb 05, 2019","1,315.01","1,311.75","1,316.86","1,310.30","0.25%"
"Feb 04, 2019","1,311.75","1,317.55","1,318.80","1,308.26","-0.47%"
"Feb 01, 2019","1,318.00","1,320.95","1,323.58","1,315.66","-0.22%"
"Jan 31, 2019","1,320.94","1,320.18","1,326.68","1,317.55","0.08%"
"Jan 30, 2019","1,319.91","1,312.27","1,323.74","1,308.81","0.61%"
"Jan 29, 2019","1,311.93","1,303.53","1,312.05","1,302.12","0.64%"
"Jan 28, 2019","1,303.53","1,303.49","1,304.49","1,297.26","0.02%"
"Jan 25, 2019","1,303.22","1,280.94","1,303.69","1,279.39","1.74%"
"Jan 24, 2019","1,280.94","1,282.74","1,285.15","1,276.97","-0.11%"
"Jan 23, 2019","1,282.39","1,285.34","1,286.92","1,278.38","-0.21%"
"Jan 22, 2019","1,285.04","1,279.73","1,285.84","1,277.25","0.37%"
"Jan 21, 2019","1,280.28","1,281.75","1,284.29","1,277.06","-0.09%"
"Jan 18, 2019","1,281.49","1,292.18","1,292.86","1,280.64","-0.81%"
"Jan 17, 2019","1,291.90","1,293.99","1,295.84","1,288.96","-0.13%"
"Jan 16, 2019","1,293.52","1,289.13","1,295.02","1,287.59","0.33%"
"Jan 15, 2019","1,289.31","1,291.76","1,294.70","1,286.37","-0.19%"
"Jan 14, 2019","1,291.73","1,287.16","1,295.90","1,287.16","0.29%"
"Jan 11, 2019","1,288.00","1,286.72","1,295.65","1,286.25","0.13%"
"Jan 10, 2019","1,286.38","1,293.11","1,297.14","1,285.81","-0.52%"
"Jan 09, 2019","1,293.13","1,285.36","1,293.95","1,279.63","0.61%"
"Jan 08, 2019","1,285.35","1,289.13","1,290.69","1,279.20","-0.26%"
"Jan 07, 2019","1,288.67","1,285.78","1,295.14","1,282.29","0.29%"
"Jan 04, 2019","1,284.92","1,294.06","1,298.51","1,276.49","-0.70%"
"Jan 03, 2019","1,293.99","1,285.12","1,295.27","1,284.16","0.72%"
"Jan 02, 2019","1,284.77","1,281.62","1,288.69","1,278.33","0.17%"
"Jan 01, 2019","1,282.62","1,283.13","1,283.24","1,282.62","-0.02%"
"Dec 31, 2018","1,282.82","1,280.08","1,284.18","1,277.09","0.16%"
"Dec 28, 2018","1,280.75","1,275.22","1,282.17","1,273.98","0.43%"
"Dec 27, 2018","1,275.22","1,266.89","1,279.04","1,266.09","0.65%"
"Dec 26, 2018","1,266.98","1,270.33","1,279.14","1,264.34","-0.17%"
"Dec 24, 2018","1,269.13","1,259.09","1,270.13","1,258.34","1.04%"
"Dec 21, 2018","1,256.01","1,260.10","1,262.84","1,253.37","-0.33%"
"Dec 20, 2018","1,260.14","1,243.70","1,266.79","1,242.89","1.35%"
"Dec 19, 2018","1,243.39","1,249.67","1,258.41","1,241.54","-0.48%"
"Dec 18, 2018","1,249.38","1,246.01","1,250.36","1,244.44","0.28%"
"Dec 17, 2018","1,245.91","1,237.25","1,248.18","1,235.47","0.62%"
"Dec 14, 2018","1,238.21","1,242.41","1,243.11","1,232.48","-0.34%"
"Dec 13, 2018","1,242.46","1,246.02","1,247.13","1,240.23","-0.27%"
"Dec 12, 2018","1,245.80","1,243.25","1,247.56","1,241.95","0.23%"
"Dec 11, 2018","1,242.94","1,244.53","1,249.62","1,240.55","-0.13%"
"Dec 10, 2018","1,244.59","1,250.43","1,250.62","1,241.21","-0.28%"
"Dec 07, 2018","1,248.10","1,238.32","1,250.42","1,237.49","0.82%"
"Dec 06, 2018","1,237.99","1,237.87","1,244.70","1,234.64","0.03%"
"Dec 05, 2018","1,237.56","1,238.54","1,239.35","1,232.96","-0.08%"
"Dec 04, 2018","1,238.55","1,231.35","1,242.24","1,230.41","0.61%"
"Dec 03, 2018","1,231.08","1,223.12","1,234.94","1,221.09","0.75%"
"Nov 30, 2018","1,221.97","1,223.97","1,225.65","1,216.24","-0.17%"
"Nov 29, 2018","1,223.99","1,221.43","1,229.35","1,220.49","0.24%"
"Nov 28, 2018","1,221.11","1,214.64","1,226.32","1,210.73","0.53%"
"Nov 27, 2018","1,214.69","1,222.65","1,225.60","1,211.74","-0.63%"
"Nov 26, 2018","1,222.37","1,224.00","1,228.13","1,221.14","-0.07%"
"Nov 23, 2018","1,223.19","1,227.33","1,229.27","1,220.53","-0.35%"
"Nov 22, 2018","1,227.45","1,226.69","1,229.80","1,225.30","0.12%"
"Nov 21, 2018","1,226.02","1,221.55","1,230.15","1,219.23","0.37%"
"Nov 20, 2018","1,221.55","1,224.37","1,229.17","1,219.67","-0.20%"
"Nov 19, 2018","1,224.05","1,221.76","1,225.26","1,217.52","0.21%"
"Nov 16, 2018","1,221.47","1,213.02","1,225.37","1,212.48","0.70%"
"Nov 15, 2018","1,213.00","1,210.87","1,216.36","1,207.56","0.17%"
"Nov 14, 2018","1,210.91","1,202.26","1,216.33","1,197.12","0.71%"
"Nov 13, 2018","1,202.35","1,200.96","1,205.57","1,196.29","0.14%"
"Nov 12, 2018","1,200.65","1,209.46","1,211.45","1,200.18","-0.74%"
"Nov 09, 2018","1,209.60","1,223.88","1,223.97","1,206.52","-1.14%"
"Nov 08, 2018","1,223.54","1,225.99","1,227.05","1,219.63","-0.21%"
"Nov 07, 2018","1,226.11","1,227.24","1,236.23","1,223.31","-0.06%"
"Nov 06, 2018","1,226.80","1,231.66","1,236.31","1,223.41","-0.37%"
"Nov 05, 2018","1,231.30","1,233.36","1,235.46","1,226.88","-0.13%"
"Nov 02, 2018","1,232.89","1,234.04","1,236.79","1,229.85","-0.03%"
"Nov 01, 2018","1,233.24","1,215.20","1,237.83","1,214.84","1.54%"
"Oct 31, 2018","1,214.54","1,223.00","1,223.70","1,211.92","-0.73%"
"Oct 30, 2018","1,223.44","1,230.17","1,231.45","1,220.22","-0.51%"
"Oct 29, 2018","1,229.74","1,234.16","1,235.79","1,224.45","-0.31%"
"Oct 26, 2018","1,233.59","1,232.24","1,243.73","1,229.80","0.11%"
"Oct 25, 2018","1,232.23","1,234.59","1,239.85","1,228.08","-0.16%"
"Oct 24, 2018","1,234.22","1,231.06","1,234.27","1,225.74","0.30%"
"Oct 23, 2018","1,230.49","1,222.32","1,240.00","1,221.72","0.68%"
"Oct 22, 2018","1,222.17","1,228.61","1,230.18","1,220.30","-0.34%"
"Oct 19, 2018","1,226.32","1,225.66","1,231.07","1,223.03","0.05%"
"Oct 18, 2018","1,225.75","1,222.35","1,230.85","1,218.78","0.25%"
"Oct 17, 2018","1,222.68","1,224.08","1,229.90","1,220.32","-0.14%"
"Oct 16, 2018","1,224.43","1,227.12","1,232.77","1,223.35","-0.20%"
"Oct 15, 2018","1,226.93","1,217.45","1,233.65","1,217.40","0.74%"
"Oct 12, 2018","1,217.93","1,224.17","1,224.45","1,215.61","-0.52%"
"Oct 11, 2018","1,224.33","1,195.01","1,226.87","1,191.30","2.47%"
"Oct 10, 2018","1,194.78","1,189.59","1,195.19","1,185.22","0.43%"
"Oct 09, 2018","1,189.62","1,189.01","1,192.23","1,183.49","0.14%"
"Oct 08, 2018","1,188.01","1,203.14","1,204.49","1,183.58","-1.23%"
"Oct 05, 2018","1,202.86","1,199.41","1,206.18","1,197.00","0.27%"
"Oct 04, 2018","1,199.66","1,197.35","1,207.11","1,195.76","0.19%"
"Oct 03, 2018","1,197.37","1,203.39","1,208.77","1,196.71","-0.48%"
"Oct 02, 2018","1,203.10","1,189.20","1,208.65","1,188.57","1.23%"
"Oct 01, 2018","1,188.47","1,192.55","1,192.95","1,184.95","-0.30%"
